price,area,latitude,longitude,Bedrooms,Bathrooms,Price_sqft
12000000,2520,28.406684,76.952289,4,3,4761.904762
4100000,1000,28.503955,77.384451,2,2,4100
3790000,1310,28.646836,77.508238,2,3,2893.129771
5200000,1065,28.63350296,77.43159485,2,2,4882.629108
12500000,1830,28.385432,77.017122,3,3,6830.601093
15200000,2268,28.41492081,77.03590393,3,3,6701.940035
10500000,1821,28.37561513,76.95761609,3,3,5766.062603
4000000,1115,28.309616,77.55859,2,2,3587.443946
3330000,825,28.505584,77.410762,2,2,4036.363636
17000000,3500,28.63601494,77.43365479,4,3,4857.142857
3600000,750,28.4826489,77.1600563,2,2,4800
4500000,1250,28.68176651,77.36365509,3,2,3600
5500000,1375,28.616204,77.422256,3,3,4000
24500000,2797,28.400064,77.0959513,4,4,8759.385055
45000000,9000,28.45846939,77.10864258,10,10,5000
5000000,1470,28.663705,77.470854,3,2,3401.360544
12500000,3150,28.40966797,77.33113861,3,3,3968.253968
7400000,1530,28.655782,77.3527833,3,2,4836.601307
4100000,1200,28.69149399,77.40766907,3,2,3416.666667
16000000,1750,28.5593993,77.0596789,3,2,9142.857143
3250000,1050,28.70019204,77.427474,2,2,3095.238095
5500000,1100,28.4088605,77.314687,2,2,5000
9000000,1815,28.455376,76.97621181,3,3,4958.677686
17500000,1600,28.66605949,77.15013123,3,2,10937.5
9900000,1650,28.48146057,77.31151581,4,3,6000
8500000,1460,28.63822365,77.3663559,3,3,5821.917808
5890000,1150,28.64673996,77.37094879,3,2,5121.73913
9000000,1800,28.646093,77.384003,3,2,5000
24000000,1632,28.666059,77.150134,3,3,14705.88235
12000000,1850,28.548787,77.346032,3,4,6486.486486
6400000,1390,28.56118696,77.3865692,3,3,4604.316547
33000000,3699,28.401255,77.053437,4,4,8921.330089
10000000,1908,28.4913752,77.2908548,4,3,5241.090147
8500000,1550,28.57844059,77.38140753,3,2,5483.870968
7400000,1480,28.495486,77.25219,3,3,5000
4300000,968,28.6493479,77.3696259,3,2,4442.14876
5800000,1150,28.4992485,77.42980194,2,2,5043.478261
9000000,1750,28.283682,77.047379,3,3,5142.857143
3500000,800,28.63477325,77.04909515,3,2,4375
12500000,1700,28.57751279,77.04253534,2,2,7352.941176
6200000,1210,28.5604873,77.384084,2,3,5123.966942
2550000,540,28.49748611,77.02713013,2,2,4722.222222
6000000,1100,28.6761322,77.28523254,2,2,5454.545455
11000000,1610,28.513139,77.025952,3,3,6832.298137
11000000,2245,28.64859324,77.37943921,4,3,4899.777283
4100000,900,28.52402496,77.21276093,3,2,4555.555556
9300000,1490,28.37423557,76.95241631,3,3,6241.610738
7500000,1250,28.68654251,77.29959869,3,2,6000
4500000,1130,28.49629327,77.40851995,3,2,3982.300885
